time,constructorId,engineManufacturerId,gridPenalty,driverId,position,tyreManufacturerId,driverNumber
,mercedes,mercedes,,valtteri-bottas,1,pirelli,77
,red-bull,honda,,max-verstappen,2,pirelli,33
,ferrari,ferrari,,carlos-sainz-jr,3,pirelli,55
,red-bull,honda,,sergio-perez,4,pirelli,11
,mclaren,mercedes,,lando-norris,5,pirelli,4
,ferrari,ferrari,,charles-leclerc,6,pirelli,16
,alphatauri,honda,,pierre-gasly,7,pirelli,10
,alpine,renault,,esteban-ocon,8,pirelli,31
,aston-martin,mercedes,,sebastian-vettel,9,pirelli,5
,mercedes,mercedes,5,lewis-hamilton,10,pirelli,44
,mclaren,mercedes,,daniel-ricciardo,11,pirelli,3
,alpine,renault,,fernando-alonso,12,pirelli,14
,alfa-romeo,ferrari,,antonio-giovinazzi,13,pirelli,99
,aston-martin,mercedes,,lance-stroll,14,pirelli,18
,alphatauri,honda,,yuki-tsunoda,15,pirelli,22
,williams,mercedes,,nicholas-latifi,16,pirelli,6
,williams,mercedes,,george-russell,17,pirelli,63
,haas,ferrari,,mick-schumacher,18,pirelli,47
,haas,ferrari,,nikita-mazepin,19,pirelli,9
,alfa-romeo,ferrari,,kimi-raikkonen,PL,pirelli,7
