time,constructorId,engineManufacturerId,gridPenalty,driverId,position,tyreManufacturerId,driverNumber
,red-bull,honda,,max-verstappen,1,pirelli,33
,mercedes,mercedes,,lewis-hamilton,2,pirelli,44
,mercedes,mercedes,,valtteri-bottas,3,pirelli,77
,ferrari,ferrari,,charles-leclerc,4,pirelli,16
,mclaren,mercedes,,lando-norris,5,pirelli,4
,mclaren,mercedes,,daniel-ricciardo,6,pirelli,3
,alpine,renault,,fernando-alonso,7,pirelli,14
,aston-martin,mercedes,,sebastian-vettel,8,pirelli,5
,alpine,renault,,esteban-ocon,9,pirelli,31
,ferrari,ferrari,,carlos-sainz-jr,10,pirelli,55
,alphatauri,honda,,pierre-gasly,11,pirelli,10
,williams,mercedes,3,george-russell,12,pirelli,63
,alfa-romeo,ferrari,,kimi-raikkonen,13,pirelli,7
,aston-martin,mercedes,,lance-stroll,14,pirelli,18
,alfa-romeo,ferrari,,antonio-giovinazzi,15,pirelli,99
,alphatauri,honda,,yuki-tsunoda,16,pirelli,22
,williams,mercedes,,nicholas-latifi,17,pirelli,6
,haas,ferrari,,mick-schumacher,18,pirelli,47
,haas,ferrari,,nikita-mazepin,19,pirelli,9
,red-bull,honda,,sergio-perez,PL,pirelli,11
